"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color"
"rupelian",6,15,0,7.5,"N",46.01,32.475,60.05,0.239722815609858,33.9,31,28.1,5.8,"Rp","#FED99A"
"rupelian",7,0,-15,-7.5,"S",13.85,8,21,0.0721617256291356,33.9,31,28.1,5.8,"Rp","#FED99A"
"rupelian",8,-15,-30,-22.5,"S",3.05,0,6.52499999999999,0.0158912103371021,33.9,31,28.1,5.8,"Rp","#FED99A"
"rupelian",9,-30,-45,-37.5,"S",0,0,0,0,33.9,31,28.1,5.8,"Rp","#FED99A"
"rupelian",10,-45,-60,-52.5,"S",1.95,0,5.52499999999999,0.0101599541499505,33.9,31,28.1,5.8,"Rp","#FED99A"
"rupelian",11,-60,-75,-67.5,"S",0,0,0,0,33.9,31,28.1,5.8,"Rp","#FED99A"
"rupelian",12,-75,-90,-82.5,"S",0,0,0,0,33.9,31,28.1,5.8,"Rp","#FED99A"
"sakmarian",1,90,75,82.5,"N",0.06,0,1,0.000210651967840466,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",2,75,60,67.5,"N",0.41,0,2,0.00143945511357652,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",3,60,45,52.5,"N",2.27,0,5,0.00796966611663097,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",4,45,30,37.5,"N",35.22,23.425,46.525,0.123652705122354,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",5,30,15,22.5,"N",27.69,18,37,0.0972158831583752,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",6,15,0,7.5,"N",113.97,96.95,131,0.400133412912966,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",7,0,-15,-7.5,"S",49.39,37.475,62,0.17340167819401,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",8,-15,-30,-22.5,"S",33.43,23.95,44,0.117368254748446,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",9,-30,-45,-37.5,"S",20.37,10.475,28.525,0.0715163430818383,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",10,-45,-60,-52.5,"S",1.63,0,5,0.00572271179299933,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",11,-60,-75,-67.5,"S",0.39,0,2,0.00136923779096303,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"sakmarian",12,-75,-90,-82.5,"S",0,0,0,0,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"santonian",1,90,75,82.5,"N",0,0,0,0,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",2,75,60,67.5,"N",0.12,0,1,0.00112317484088356,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",3,60,45,52.5,"N",6.07,2,10,0.056813927368027,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",4,45,30,37.5,"N",42.83,31.95,54,0.400879820292025,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",5,30,15,22.5,"N",31.35,23,41.525,0.293429427180831,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",6,15,0,7.5,"N",5.43,2,9.52499999999999,0.0508236615499813,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",7,0,-15,-7.5,"S",19.13,10.95,29,0.179052789217522,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",8,-15,-30,-22.5,"S",0,0,0,0,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",9,-30,-45,-37.5,"S",0.77,0,2.52499999999999,0.0072070385623362,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",10,-45,-60,-52.5,"S",1.14,0,3.52499999999999,0.0106701609883939,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",11,-60,-75,-67.5,"S",0,0,0,0,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"santonian",12,-75,-90,-82.5,"S",0,0,0,0,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"selandian",1,90,75,82.5,"N",0,0,0,0,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",2,75,60,67.5,"N",0.02,0,0,0.000621310966138552,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",3,60,45,52.5,"N",0.97,0,3,0.0301335818577198,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",4,45,30,37.5,"N",10.79,5,17.525,0.335197266231749,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",5,30,15,22.5,"N",4.32,1,9,0.134203168685927,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",6,15,0,7.5,"N",6.85,2,11.525,0.212799005902454,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",7,0,-15,-7.5,"S",8.67,3.475,16.525,0.269338303821062,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",8,-15,-30,-22.5,"S",0,0,0,0,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",9,-30,-45,-37.5,"S",0,0,0,0,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",10,-45,-60,-52.5,"S",0.57,0,2,0.0177073625349487,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",11,-60,-75,-67.5,"S",0,0,0,0,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"selandian",12,-75,-90,-82.5,"S",0,0,0,0,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"serravallian",1,90,75,82.5,"N",0,0,0,0,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"serravallian",2,75,60,67.5,"N",0,0,0,0,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"serravallian",3,60,45,52.5,"N",6.48,2,11,0.0684627575277338,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"serravallian",4,45,30,37.5,"N",25.34,17,34.525,0.267723190702588,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"serravallian",5,30,15,22.5,"N",6.5,2,12,0.0686740623349181,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"serravallian",6,15,0,7.5,"N",31.72,19.95,41.1,0.3351294241944,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
