"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"120773",173561,"col","",-2.22952,42.124996,"Poyales tracksite, Navalsaz",NA,"Arnedo, Logroño",1,"Aptian","",125,113,56569,"gp_mid",23.22,32.23,"304",119,1
"124436",179232,"col","",16.663692,41.187958,"Giovinazzo tracksite",NA,"",3,"Aptian","",125,113,59339,"gp_mid",34.78,21.76,"307",119,1
"124437",179233,"col","",16.089516,40.968452,"Spinazzola tracksite",NA,"",1,"Aptian","",125,113,59343,"gp_mid",34.41,22.1,"307",119,1
"124438",179234,"col","",16.077381,41.085617,"Minervino tracksite",NA,"",1,"Aptian","",125,113,59343,"gp_mid",34.53,22.15,"307",119,1
"126480",182635,"col","Patuxent",-77.421112,38.262501,"Little Falls Creek tracksite",NA,"Little Falls Run",2,"Aptian","",125,113,60832,"gp_mid",-17.61,36.14,"109",119,1
"132730",194481,"col","Clearwater",-111.374443,56.746944,"Suncor Millennium Mine",NA,"Borealopelta-type locality",48,"Aptian","",125,113,66053,"gp_mid",-40.19,61.36,"101",119,1
"133919",196728,"col","Santana",-40.46423,-7.743432,"MGEO Research Collection (sample MP-931)",NA,"",0,"Aptian","",125,113,64783,"gp_mid",2.23,-6.11,"201",119,1
"136475",201991,"col","",-2.286944,42.156113,"Las Losas tracksite (LL)",NA,"Enciso",1,"Aptian","",125,113,69189,"gp_mid",23.19,32.28,"304",119,1
"136476",201992,"col","",-2.44848,42.216324,"Hornillos de Cameros tracksite 1 (1HR)",NA,"",2,"Aptian","",125,113,69190,"gp_mid",23.12,32.39,"304",119,1
"136477",201993,"col","",-2.44306,42.218452,"Hornillos de Cameros tracksite 2 (2HR)",NA,"",5,"Aptian","",125,113,69190,"gp_mid",23.12,32.39,"304",119,1
"136478",201994,"col","",-2.444213,42.218155,"Hornillos de Cameros tracksite 3 (3HR)",NA,"",3,"Aptian","",125,113,69190,"gp_mid",23.12,32.39,"304",119,1
"136479",201995,"col","",-2.444838,42.21907,"Hornillos de Cameros tracksite 4 (4HR)",NA,"",3,"Aptian","",125,113,69190,"gp_mid",23.12,32.39,"304",119,1
"136480",201996,"col","",-2.44348,42.219086,"Hornillos de Cameros tracksite 5 (5HR)",NA,"",1,"Aptian","",125,113,69190,"gp_mid",23.12,32.39,"304",119,1
"136481",201997,"col","",-2.453217,42.218388,"La Pellejera tracksite (PL)",NA,"Hornillos de Cameros",3,"Aptian","",125,113,69213,"gp_mid",23.11,32.4,"304",119,1
