"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"40499",60825,"col","Flint River",-84.58,30.91,"USGS 3383 - Little Horseshoe Bend (Flint River Fm)",NA,"Station 3383",8,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40500",60826,"col","Flint River",-84.58,30.91,"USGS 3388 - Red Bluff (Flint River Fm)",NA,"Station 3388",1,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40501",60827,"col","Flint River",-84.58,30.91,"USGS 3400 - Mitchell Griffin's field (Flint River Fm)",NA,"Station 3400",1,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40502",60828,"col","Flint River",-84.58,30.91,"USGS 3401 - Cherry Chute (Flint River Fm)",NA,"Station 3401",4,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40503",60829,"col","Flint River",-84.58,30.91,"USGS 6171 - Bainbridge (Flint River Fm)",NA,"Station 6171",1,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40504",60830,"col","Flint River",-84.58,30.91,"USGS 6175 - Bainbridge (Flint River Fm)",NA,"Station 6175",1,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40505",60831,"col","Flint River",-84.58,30.91,"USGS 7074 - Hale Landing (Flint River Fm)",NA,"Station 7074",26,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40506",60832,"col","Flint River",-84.58,30.91,"USGS 7075 - Lambert Island (Flint River Fm)",NA,"Station 7075",15,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40507",60833,"col","Flint River",-84.58,30.91,"USGS 7076 - Lambert Island (Flint River Fm)",NA,"Station 7076",4,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40508",60834,"col","Flint River",-84.58,30.91,"USGS 7078 - Smith’s Reach (Flint River Fm)",NA,"Station 7078",5,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
