"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"56560",86174,"col","Porters Creek",-88,32.23,"ACh-1 Rep 3",NA,"",10,"Selandian","",61.6,59.2,28506,"gp_mid",-59.5,36.48,"101",60.4,"selandian",14545,-65.3472,34.6961,18,1
"56561",86175,"col","Porters Creek",-88,32.23,"ACh-1 Rep 4",NA,"",18,"Selandian","",61.6,59.2,28506,"gp_mid",-59.5,36.48,"101",60.4,"selandian",14545,-65.3472,34.6961,18,1
"56566",86180,"col","Porters Creek",-87.43,32.02,"AWi-13 Rep 3",NA,"",11,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4,"selandian",14547,-65.3472,34.6961,18,1
"56567",86181,"col","Porters Creek",-87.43,32.02,"AWi-14 Rep 1",NA,"",24,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4,"selandian",14547,-65.3472,34.6961,18,1
"56568",86182,"col","Porters Creek",-87.43,32.02,"AWi-14 Rep 2",NA,"",28,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4,"selandian",14547,-65.3472,34.6961,18,1
"56570",86184,"col","Porters Creek",-87.43,32.02,"AWi-14 Rep 4",NA,"",9,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4,"selandian",14547,-65.3472,34.6961,18,1
"56572",86186,"col","Porters Creek",-87.43,32.02,"AWi-14 Rep 5",NA,"",11,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4,"selandian",14547,-65.3472,34.6961,18,1
"56583",86259,"col","Porters Creek",-87.43,31.02,"PRI Matthews Landing 1",NA,"",1,"Selandian","",61.6,59.2,28506,"gp_mid",-59.43,35.17,"109",60.4,"selandian",14549,-65.966,32.25,18,1
"56584",86262,"col","Porters Creek",-87.43,31.02,"PRI Matthews Landing 2",NA,"",4,"Selandian","",61.6,59.2,28506,"gp_mid",-59.43,35.17,"109",60.4,"selandian",14549,-65.966,32.25,18,1
"57764",87817,"col","Porters Creek",-87.42,32.02,"Matthews Landing",NA,"",20,"Selandian","",61.6,59.2,13490,"gp_mid",-59.01,36.12,"109",60.4,"selandian",14957,-65.3472,34.6961,18,1
"59183",89867,"col","Naheola",-87.35,31.9,"Locality B",NA,"AWi-20",11,"Selandian","",61.6,59.2,29915,"gp_mid",-58.99,35.99,"109",60.4,"selandian",15417,-65.3472,34.6961,18,1
"59193",89947,"col","Porters Creek",-87.28,31.98,"Parsely Creek",NA,"",11,"Selandian","",61.6,59.2,29915,"gp_mid",-58.89,36.05,"109",60.4,"selandian",14076,-65.3472,34.6961,18,1
"59614",90605,"col","Naheola",-88.02,32.23,"PRI 2181",NA,"",4,"Selandian","",61.6,59.2,11845,"gp_mid",-59.52,36.49,"101",60.4,"selandian",15610,-65.3472,34.6961,18,1
"59615",90606,"col","Porters Creek",-87.28,31.98,"PRI 2185",NA,"",59,"Selandian","",61.6,59.2,11845,"gp_mid",-58.89,36.05,"109",60.4,"selandian",14076,-65.3472,34.6961,18,1
"59617",90607,"col","Naheola",-87.08,31.92,"PRI 2186",NA,"",10,"Selandian","",61.6,59.2,11845,"gp_mid",-58.72,35.93,"109",60.4,"selandian",15611,-65.3472,34.6961,18,1
"59618",90608,"col","Naheola",-87.08,31.92,"PRI 2187",NA,"",11,"Selandian","",61.6,59.2,11845,"gp_mid",-58.72,35.93,"109",60.4,"selandian",15611,-65.3472,34.6961,18,1
"59624",98384,"col","Naheola",-88.03,32.37,"M 672",NA,"",2,"Selandian","",61.6,59.2,11845,"gp_mid",-59.48,36.62,"101",60.4,"selandian",15614,-65.3472,34.6961,18,1
"60517",91853,"col","Porters Creek",-87.4,32.13,"M 27",NA,"",2,"Selandian","",61.6,59.2,11845,"gp_mid",-58.95,36.22,"101",60.4,"selandian",15926,-65.3472,34.6961,18,1
"60816",92156,"col","Porters Creek",-84.31,32.24,"M 328",NA,"",1,"Selandian","",61.6,59.2,11845,"gp_mid",-55.86,35.47,"109",60.4,"selandian",16012,-61.6014,34.031,18,1
