"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"29732",47322,"col","Karazin",132.300003,42.916668,"Golyj (Kom-Pikho-Sakho) Cape on the eastern coast of Ussuri Gulf, Bed 22",46901,"",1,"Anisian","",247.2,242,12648,"gp_mid",140.87,21.4,"628",244.6,1
"29733",47323,"col","Karazin",132.300003,42.916668,"Golyj (Kom-Pikho-Sakho) Cape on the eastern coast of Ussuri Gulf, Bed 19",46901,"",1,"Anisian","",247.2,242,12648,"gp_mid",140.87,21.4,"628",244.6,1
"30922",48556,"col","Uzum Bair",28.781111,45.066113,"Uzum Bair EG6",NA,"",15,"Anisian","",247.2,242,12959,"gp_mid",44.32,27.68,"302",244.6,1
"30969",48608,"col","Uzum Bair",28.781111,45.066113,"Uzum Bair EG1",NA,"",20,"Anisian","",247.2,242,12959,"gp_mid",44.32,27.68,"302",244.6,1
"30992",48635,"col","Uzum Bair",28.781111,45.066113,"Uzum Bair EG9",NA,"",19,"Anisian","",247.2,242,12959,"gp_mid",44.32,27.68,"302",244.6,1
"30993",48636,"col","",28.781111,45.066113,"Uzum Bair EG7",NA,"",6,"Anisian","",247.2,242,12959,"gp_mid",44.32,27.68,"302",244.6,1
"30994",48637,"col","Uzum Bair",28.781111,45.066113,"Uzum Bair EG3",NA,"",30,"Anisian","",247.2,242,12959,"gp_mid",44.32,27.68,"302",244.6,1
"34046",52505,"col","Tarporley Siltstone",-2.431775,53.376335,"Lymm Quarry",NA,"Lymn",3,"Anisian","",247.2,242,55585,"gp_mid",19.54,30.55,"315",244.6,1
"37936",57944,"col","Bromsgrove Sandstone",-1.57628,52.286877,"Coten End Quarry",NA,"Coton End Quarry",13,"Anisian","",247.2,242,51968,"gp_mid",20.31,29.55,"315",244.6,1
"39786",59960,"col","Muschelkalk",10.866667,51.366669,"Asteroidea, Muschelkalk, Sondershausen, Thüringen",NA,"",2,"Anisian","",247.2,242,17209,"gp_mid",29.21,30.16,"315",244.6,1
"39790",59964,"col","Muschelkalk",9.533333,50.583332,"Asteroidea, Muschelkalk, Grossenlüder, Hesse",NA,"",1,"Anisian","",247.2,242,17209,"gp_mid",28.48,29.2,"315",244.6,1
"39793",59967,"col","Jena",10.004167,51.537777,"Asteroidea, Muschelkalk, Herberhausen, Nordrhein-Westfalen",NA,"",4,"Pelsonian","",247.2,242,17209,"gp_mid",28.56,30.2,"315",244.6,1
"40516",60842,"col","Qingyan",106.666664,26.333332,"Leidapo/Bangtoupo, Qingyan",NA,"",4,"Anisian","",247.2,242,17530,"gp_mid",108.91,-9.71,"611",244.6,1
"40517",60843,"col","Qingyan",106.666664,26.333332,"Wachangpo, Qingyan, south-west China",NA,"",2,"Anisian","",247.2,242,17530,"gp_mid",108.91,-9.71,"611",244.6,1
"40518",60844,"col","Qingyan",106.666664,26.333332,"Shizishanjiao, Qingyan, south-west China",NA,"",1,"Anisian","",247.2,242,17530,"gp_mid",108.91,-9.71,"611",244.6,1
"42436",63536,"col","Gogoliner Schichten",12.983333,50.849998,"Ophiuroidea, Gogoliner Schichten, Muschelkalk, Roitza, Beuten-Berg",NA,"",2,"Anisian","",247.2,242,18273,"gp_mid",30.84,29.99,"305",244.6,1
