"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"24297",40766,"col","",-0.295,41.423332,"Nivel X, Los Valles de Fuentiduenya (Segovia)",NA,"Nivel X, Los Valles de Fuentidueña (Segovia)",10,"Vallesian","",11.608,8.7,11005,"gp_mid",1.08,39.79,"304",10.154,1
"24298",40767,"col","",-0.295,41.423332,"Nivel Y, Los Valles de Fuentiduenya (Segovia)",NA,"Nivel Y, Los Valles de Fuentidueña (Segovia)",12,"Vallesian","",11.608,8.7,11005,"gp_mid",1.08,39.79,"304",10.154,1
"24299",40768,"col","",-0.295,41.423332,"Macrofauna, Los Valles de Fuentiduenya (Segovia)",NA,"Macrofauna, Los Valles de Fuentidueña (Segovia)",28,"Vallesian","",11.608,8.7,11005,"gp_mid",1.08,39.79,"304",10.154,1
"27670",44942,"col","",-1.234444,40.161945,"Minas de Libros",NA,"",8,"MN 9","MN 10",11.1,8.7,11708,"gp_mid",0.11,38.55,"304",9.9,1
"27671",44943,"col","",-1.234444,40.161945,"Minas de azufre de Libros",NA,"",1,"MN 9","MN 10",11.1,8.7,11708,"gp_mid",0.11,38.55,"304",9.9,1
"28104",45489,"col","Monterey",-120.440559,34.605556,"Lompoc Quarry",NA,"UCMP V2502, Celite Company #5 quarry, John Mansfield quarry",79,"Tortonian","",11.62,7.246,11899,"gp_mid",-116.63,36.27,"105",9.433,1
"30568",48175,"col","",30.618055,46.644444,"Cherevichnoie, lower layer",NA,"Cherevichnoe, Cherevychne",8,"MN 12","",7.75,7.246,12908,"gp_mid",30.97,45.21,"302",7.498,1
"31924",49978,"col","Etolonskaya",159,58.416668,"Marine Bivalvia of Etolonskaya Suite in western Kamchatka",NA,"",125,"Tortonian","",11.62,7.246,13418,"gp_mid",157.04,59.7,"485",9.433,1
"33310",51719,"col","Eastover",-76.566666,37.599998,"USGS Loc. 25309 - Urbana Creek [Cobham Bay Mbr, Eastover Fm]",NA,"Kline Loc. 502",4,"Tortonian","",11.62,7.246,13777,"gp_mid",-72.5,38.75,"109",9.433,1
"33630",52073,"col","Chersonian",31.994722,46.974998,"Nikolaev",NA,"Vernoleninsk, Nikolayev, Nikolajew, Mykolayiv",3,"Tortonian","",11.62,7.246,11981,"gp_mid",32.44,45.11,"302",9.433,1
"33773",52211,"col","Monterey",-120.34333,34.576111,"LACM 3897",NA,"",1,"Tortonian","",11.62,7.246,46226,"gp_mid",-116.53,36.24,"105",9.433,1
"37126",57112,"col","St Marys",-76.744164,37.148335,"Chestnut Bluffs",NA,"",2,"Tortonian","",11.62,7.246,15562,"gp_mid",-72.71,38.31,"109",9.433,1
"38904",58988,"col","Monterey",-120.439445,34.599167,"Great Lakes Carbon Co. quarry",NA,"",1,"Tortonian","",11.62,7.246,16737,"gp_mid",-116.63,36.27,"105",9.433,1
"39950",60242,"col","",38.16,47.269722,"Homutovo",NA,"Khomutovo",2,"Tortonian","",11.62,7.246,17253,"gp_mid",38.4,45.39,"302",9.433,1
"39975",60268,"col","",29.375278,46.90361,"Kalfa",NA,"Kelfa, Calfa",5,"MN 9","",11.1,9.7,17253,"gp_mid",29.97,44.84,"302",10.4,1
"41779",62466,"col","Aksucay",30.783333,37.266666,"Reef, Kargi section, Aksu sub-basin",NA,"Reef 2570",6,"Tortonian","",11.62,7.246,18042,"gp_mid",31.18,35.41,"504",9.433,1
"43477",65227,"col","",15.906944,38.671944,"Cava Gentile",NA,"",3,"Tortonian","",11.62,7.246,18804,"gp_mid",17.02,36.39,"307",9.433,1
"43479",65229,"col","Shiotsubo",139.738327,37.603058,"Takasato",NA,"",3,"Tortonian","",11.62,7.246,18808,"gp_mid",137.9,37.22,"610",9.433,1
"43607",65420,"col","",15.841389,38.639721,"Santa Domenica di Ricadi",NA,"",1,"Tortonian","",11.62,7.246,18856,"gp_mid",16.96,36.36,"307",9.433,1
"45599",68214,"col","",23.991667,38.019444,"Pikermi (small mammals)",NA,"",5,"MN 12","",7.75,7.246,19617,"gp_mid",24.65,36.1,"308",7.498,1
"45650",68267,"col","Coquimbo",-71.5,-30.333332,"Tongoy area, Coquimbo Formation, Unit 6",NA,"",5,"Tortonian","",11.62,7.246,19640,"gp_mid",-69.64,-29.82,"291",9.433,1
"45651",68268,"col","Coquimbo",-71.5,-30.333332,"Tongoy area, Coquimbo Formation, Unit 7",NA,"",1,"Tortonian","",11.62,7.246,19640,"gp_mid",-69.64,-29.82,"291",9.433,1
"45652",68269,"col","Coquimbo",-71.5,-30.333332,"Tongoy area, Coquimbo Formation, Unit 8",NA,"",4,"Tortonian","",11.62,7.246,19640,"gp_mid",-69.64,-29.82,"291",9.433,1
"45700",68325,"col","Navidad",-71.870834,-33.9575,"SGOPI loc. 031282, 1 km north of Matanzas, Cardenal Caro Province",NA,"",8,"Tortonian","",11.62,7.246,19658,"gp_mid",-70.11,-33.43,"291",9.433,1
"46730",69730,"col","Bahia Inglesa",-70.87944,-27.139168,"Bahia Inglesa Unit 2",NA,"",9,"Tortonian","",11.62,7.246,27020,"gp_mid",-68.94,-26.63,"291",9.433,1
"46790",69803,"col","",-1.066667,40.216667,"Cubla",NA,"",1,"MN 12","",7.75,7.246,23416,"gp_mid",-0.11,39.1,"304",7.498,1
"46791",69804,"col","",-1.083333,40.333332,"Aljezar B",NA,"",0,"MN 12","",7.75,7.246,23416,"gp_mid",-0.12,39.21,"304",7.498,1
"47217",70491,"col","",8.925417,44.785313,"Santa Agata fossili, Tortona area, Piedmont",NA,"",90,"Tortonian","",11.62,7.246,23527,"gp_mid",10.56,42.69,"307",9.433,1
"47218",70492,"col","",15.85,38.349998,"Palmi, Calabria",NA,"Reef 1994",8,"Tortonian","",11.62,7.246,23527,"gp_mid",16.96,36.07,"307",9.433,1
"47222",70496,"col","",7.933333,45.066666,"Torino Hill (Montaldo, Moncucco), Piedmont",NA,"",15,"Tortonian","",11.62,7.246,23527,"gp_mid",9.62,43,"307",9.433,1
"47223",70497,"col","",10.783333,44.549999,"Montegibbio, Sassuolo area, Modena",NA,"",21,"Tortonian","",11.62,7.246,23527,"gp_mid",12.34,42.4,"307",9.433,1
"47224",70498,"col","",10.766667,44.483334,"Montebaranzone, Modena",NA,"",11,"Tortonian","",11.62,7.246,23527,"gp_mid",12.32,42.33,"307",9.433,1
"47239",70514,"col","",-1.133333,38.233334,"El Desastre Reef, Fortuna Basin, Murcia",NA,"Reef 1835",10,"Tortonian","",11.62,7.246,23647,"gp_mid",0.02,36.79,"304",9.433,1
"48037",71537,"col","Hongo",140.211105,38.331669,"Yoh Iron Bridge",NA,"Yoh Ohe",3,"Tortonian","",11.62,7.246,24176,"gp_mid",138.35,37.96,"610",9.433,1
"48096",71625,"col","Saint Marys",-76.970833,37.691387,"White Oak Landing, Zone 24",NA,"",6,"Tortonian","",11.62,7.246,16985,"gp_mid",-72.91,38.86,"109",9.433,1
"49205",73901,"col","",45.700001,41.299999,"El'dar",NA,"",20,"Tortonian","",11.62,7.246,24838,"gp_mid",45.72,39.43,"402",9.433,1
"50019",75087,"col","",45.386665,41.492222,"Udabno I",NA,"",15,"MN 11","",8.7,7.75,24838,"gp_mid",45.4,39.83,"402",8.225,1
"50028",75169,"col","",45.386665,41.492222,"Udabno II",NA,"",7,"MN 11","",8.7,7.75,25370,"gp_mid",45.4,39.83,"402",8.225,1
"50409",75794,"col","",30.400278,47.153057,"Novo-Yelizavetovka",NA,"Novoelizavetovka, Novoyelizavetivka",22,"Tortonian","",11.62,7.246,24838,"gp_mid",30.9,45.29,"302",9.433,1
"50410",75795,"col","",34.009998,46.610001,"Petroverovka",NA,"",2,"Tortonian","",11.62,7.246,24838,"gp_mid",34.38,44.74,"302",9.433,1
"50411",75796,"col","",30.731943,46.461666,"Odessa",NA,"",14,"Tortonian","",11.62,7.246,24838,"gp_mid",31.21,44.6,"302",9.433,1
"50412",75797,"col","",30.534721,46.729168,"Novaya Yemetovka",NA,"",15,"Tortonian","",11.62,7.246,24838,"gp_mid",31.02,44.87,"302",9.433,1
"50413",75798,"col","",31,46.683334,"Vizirka",NA,"",1,"Tortonian","",11.62,7.246,24838,"gp_mid",31.47,44.82,"302",9.433,1
"50414",75799,"col","Balta sands",29.596666,48.130001,"Stratiyevka",NA,"",1,"Tortonian","",11.62,7.246,24838,"gp_mid",30.13,46.28,"302",9.433,1
"50415",75800,"col","",33.373333,46.809723,"Grebnicki",NA,"",29,"Tortonian","",11.62,7.246,24838,"gp_mid",33.77,44.94,"302",9.433,1
"50416",75801,"col","",30.049999,48.43,"Tudorovo",NA,"",10,"Tortonian","",11.62,7.246,24838,"gp_mid",30.57,46.57,"302",9.433,1
"50417",75802,"col","",28.922777,46.580555,"Tarakliya",NA,"",54,"Tortonian","",11.62,7.246,24838,"gp_mid",29.46,44.73,"302",9.433,1
