"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"108797",154206,"col","",13.88,51.525002,"Zschipkau near Senftenberg",NA,"",2,"Langhian","",15.97,13.82,50036,"gp_mid",15.82,48.62,"305",14.895
"110280",156362,"col","Castilletes",-71.267967,11.94994,"STRI Loc. 290828 - Guarparo [upper Castilletes Fm]",NA,"STRI Sample 38133; AH140137",1,"Langhian","",15.97,13.82,43760,"gp_mid",-66.7,12.61,"203",14.895
"110283",156365,"col","Castilletes",-71.275558,11.96218,"STRI Loc. 290679 - N of Puerto Lopez [middle Castilletes Fm]",NA,"",4,"Langhian","",15.97,13.82,43760,"gp_mid",-66.71,12.63,"203",14.895
"110296",156488,"col","Castilletes",-71.286552,11.9515,"STRI Loc. 290811 - Hautpana [lower Castilletes Fm]",NA,"AH140115, AH140116, AH140117, AH140130, DDS003",8,"Langhian","",15.97,13.82,43760,"gp_mid",-66.72,12.62,"203",14.895
"110297",156489,"col","Castilletes",-71.285042,11.94593,"STRI Loc. 290812 - Hautpana [lower Castilletes Fm]",NA,"",1,"Langhian","",15.97,13.82,43760,"gp_mid",-66.72,12.61,"203",14.895
"110298",156490,"col","Castilletes",-71.286133,11.944844,"STRI Loc. 290813 - Hautpana [lower Castilletes Fm]",NA,"",1,"Langhian","",15.97,13.82,43760,"gp_mid",-66.72,12.61,"203",14.895
"110299",156491,"col","Castilletes",-71.282791,11.94383,"STRI Loc. 290814 - Hautpana [lower Castilletes Fm]",NA,"",2,"Langhian","",15.97,13.82,43760,"gp_mid",-66.72,12.61,"203",14.895
"110307",156511,"col","Castilletes",-71.28598,11.951265,"STRI Loc. 290811a - Hautpana [lower Castilletes Fm]",NA,"",1,"Langhian","",15.97,13.82,43760,"gp_mid",-66.72,12.62,"203",14.895
"110308",156512,"col","Castilletes",-71.283325,11.949784,"STRI Loc. 290811b - Hautpana [lower Castilletes Fm]",NA,"",5,"Langhian","",15.97,13.82,43760,"gp_mid",-66.72,12.61,"203",14.895
"110309",156514,"col","Castilletes",-71.363823,11.8583,"STRI Loc. 290824 - Kaitamana [middle Castilletes Fm]",NA,"AH140134; AH140133",3,"Langhian","",15.97,13.82,43760,"gp_mid",-66.8,12.53,"203",14.895
"110310",156515,"col","Castilletes",-71.365501,11.8568,"STRI Loc. 430202 - Kaitamana [middle Castilletes Fm]",NA,"",4,"Langhian","",15.97,13.82,43760,"gp_mid",-66.8,12.52,"203",14.895
"110311",156516,"col","Castilletes",-71.2659,11.94596,"STRI Loc. 290825 - Guarparo [upper Castilletes Fm]",NA,"DDS018",1,"Langhian","",15.97,13.82,43760,"gp_mid",-66.7,12.61,"203",14.895
"110312",156517,"col","Castilletes",-71.268768,11.95047,"STRI Loc. 290829 - Guarparo [upper Castilletes Fm]",NA,"\r\nDDS019",1,"Langhian","",15.97,13.82,43760,"gp_mid",-66.7,12.62,"203",14.895
"110313",156518,"col","Castilletes",-71.271362,11.94896,"STRI Loc. 290830 - Guarparo [upper Castilletes Fm]",NA,"",1,"Langhian","",15.97,13.82,43760,"gp_mid",-66.7,12.61,"203",14.895
