"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"57271",118353,"col","Ruteh",52.370998,36.255001,"Amol section, Bed 2, lower Heraz Valley",NA,"",5,"Wordian","",268.8,265.1,33703,"gp_mid",57.11,-9.75,"512",1,266.95,"wordian"
"57280",118363,"col","Zhesi",110.230003,42.330002,"Zhesi Hongor",NA,"PIN collection 5133",3,"Wordian","",268.8,265.1,27328,"gp_mid",121.93,29.71,"628",1,266.95,"wordian"
"57281",118364,"col","Zhesi",110.5,42.650002,"Baotege, Zhesi Hongor",NA,"PIN collection 5133",1,"Wordian","",268.8,265.1,27328,"gp_mid",122.28,29.93,"628",1,266.95,"wordian"
"57282",118365,"col","Zhesi",110.25,42.330002,"Bulege-2, Zhesi Hongor",NA,"PIN collection 5133",1,"Wordian","",268.8,265.1,27328,"gp_mid",121.94,29.71,"628",1,266.95,"wordian"
"57294",118413,"col","Maokou",106.75,30,"Foothills of Zonliang Ridge",NA,"",2,"Wordian","",268.8,265.1,27328,"gp_mid",113.26,-13.6,"611",1,266.95,"wordian"
"57682",118846,"col","",100.856003,14.699,"Khao Khao KK-2",NA,"",1,"Wordian","",268.8,265.1,33710,"gp_mid",115.97,-30.46,"615",1,266.95,"wordian"
"57683",118847,"col","",100.857002,14.6995,"Khao Khao KK-a",NA,"",1,"Wordian","",268.8,265.1,33710,"gp_mid",115.97,-30.46,"615",1,266.95,"wordian"
"57684",118848,"col","",100.858002,14.699,"Khao Khao KK-27",NA,"",1,"Wordian","",268.8,265.1,33710,"gp_mid",115.97,-30.46,"615",1,266.95,"wordian"
"57705",118869,"col","Kanokura",141.542999,38.919998,"Omote-Matsukawa (Anabuchi), Kesennuma City, Miyagi Prefecture",NA,"",2,"Wordian","",268.8,265.1,47975,"gp_mid",137.54,6.94,"610",1,266.95,"wordian"
"57730",118930,"col","Kamiyasse",141.529007,38.981998,"KF11C, Kidono-sawa, Shigeji-sawa",NA,"",1,"Wordian","",268.8,265.1,31807,"gp_mid",137.55,7,"610",1,266.95,"wordian"
"57731",118931,"col","Kamiyasse",141.529007,38.981998,"KF11D, Kidono-sawa, Shigeji-sawa",NA,"",1,"Wordian","",268.8,265.1,31807,"gp_mid",137.55,7,"610",1,266.95,"wordian"
