"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"7922",36455,"col","",40.266666,2.95,"Cox - 127 (N.E. Kenya)",NA,"",32,"Toarcian","",182.7,174.1,9748,"gp_mid",35.52,-16.97,"709",1,178.4,"toarcian"
"8181",36904,"col","",-70.116669,-35.200001,"B6-Salado river (2), Mendoza",NA,"",3,"Toarcian","",182.7,174.1,9861,"gp_mid",-18.57,-35.59,"291",1,178.4,"toarcian"
"8184",36907,"col","",-70.183334,-35.516666,"B11-Cerro Tricolor, Bed 808, Mendoza",NA,"",1,"Late Toarcian","",180.1,175.6,9861,"gp_mid",-18.54,-35.91,"291",1,177.85,"toarcian"
"8195",36918,"col","",-69.98333,-35.950001,"B12-Arroyo Poti Malal, Bed 801, Mendoza",NA,"",1,"Late Toarcian","",180.1,175.6,9861,"gp_mid",-18.21,-36.29,"291",1,177.85,"toarcian"
"8196",36919,"col","",-69.98333,-35.950001,"B12-Arroyo Poti Malal, Bed 804, Mendoza",NA,"",1,"Late Toarcian","",180.1,175.6,9861,"gp_mid",-18.21,-36.29,"291",1,177.85,"toarcian"
"8197",36920,"col","",-69.98333,-35.950001,"B12-Arroyo Poti Malal, Bed 802, Mendoza",NA,"",1,"Toarcian","",182.7,174.1,9861,"gp_mid",-18.21,-36.29,"291",1,178.4,"toarcian"
"8212",36936,"col","",-70.033333,-32.283333,"A2-Arroyo La Laguna, Bed 447, Mendoza",NA,"",1,"Toarcian","",182.7,174.1,9861,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
"8213",36937,"col","",-70.033333,-32.283333,"A2-Arroyo La Laguna, Mendoza",NA,"",1,"Toarcian","",182.7,174.1,9861,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
"8530",37555,"col","",-130.5,57.110001,"Mount Brock, Smithers Formation",NA,"",3,"Toarcian","",182.7,174.1,8933,"gp_mid",-59.97,36.75,"127",1,178.4,"toarcian"
"8531",37556,"col","",-130.5,57.110001,"Mount Brock (lower), Smithers Formation",NA,"",1,"Toarcian","",182.7,174.1,8933,"gp_mid",-59.97,36.75,"127",1,178.4,"toarcian"
"8532",37557,"col","",-130.5,57.110001,"Mount Brock (upper 1), Smithers Formation",NA,"",2,"Toarcian","",182.7,174.1,8933,"gp_mid",-59.97,36.75,"127",1,178.4,"toarcian"
"8533",37558,"col","",-130.5,57.110001,"Mount Brock (upper 2), Smithers Formation",NA,"",1,"Toarcian","",182.7,174.1,8933,"gp_mid",-59.97,36.75,"127",1,178.4,"toarcian"
"9240",38617,"col","",3,44,"South-France, Le Clapier",NA,"",3,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
"9241",38618,"col","",3,44,"South-France, St. Eulalie",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
"9242",38619,"col","",3,44,"South-France, Milhaud",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
