"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"62036",125586,"col","Nesen",51.431389,36.258331,"Bear Gully section IR867, Alborz mountains",NA,"",1,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62037",125587,"col","Nesen",51.431389,36.258331,"Bear Gully section IR869, Alborz mountains",NA,"",2,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62038",125588,"col","Nesen",51.431389,36.258331,"Bear Gully section IR870, Alborz mountains",NA,"",1,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62039",125589,"col","Nesen",51.431389,36.258331,"Bear Gully section IR871, Alborz mountains",NA,"",5,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62040",125590,"col","Nesen",51.431389,36.258331,"Bear Gully section IR872, Alborz mountains",NA,"",2,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62041",125591,"col","Nesen",51.431389,36.258331,"Bear Gully section IR873, Alborz mountains",NA,"",1,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62042",125592,"col","Nesen",51.431389,36.258331,"Bear Gully section IR875, Alborz mountains",NA,"",7,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62043",125593,"col","Nesen",51.431389,36.258331,"Bear Gully section IR877, Alborz mountains",NA,"",1,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62044",125594,"col","Nesen",51.431389,36.258331,"Bear Gully section IR878, Alborz mountains",NA,"",1,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62045",125595,"col","Nesen",51.431389,36.258331,"Bear Gully section IR879, Alborz mountains",NA,"",2,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
