"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"133026",195251,"col","Villavieja",-75.13,3.32,"Rodents El Cardon Red Beds Walton",NA,"La Venta Rodents",3,"Laventan","",13.8,11.8,45865,"gp_mid",-71.53,4.1,"201",12.8,"serravallian",27260,-73.0392,0.936,7
"133027",195253,"col","La Victoria",-75.15,3.3,"Rodent locality La Victoria Fm.",NA,"""Olenopsis"" sp. Walton 1997",1,"Laventan","",13.8,11.8,46973,"gp_mid",-71.55,4.08,"201",12.8,"serravallian",1607,-73.0392,0.936,7
"133028",195256,"col","Villavieja",-75.17,3.25,"Rodents Walton Unit between Monkey Beds and Fish Bed",NA,"La Venta Fauna",3,"Laventan","",13.8,11.8,46973,"gp_mid",-71.56,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"133029",195257,"col","Villavieja",-75.15,3.17,"Rodent_Polonia Red Beds",NA,"",1,"Laventan","",13.8,11.8,46973,"gp_mid",-71.55,3.95,"201",12.8,"serravallian",34348,-73.0392,0.936,7
"133030",195258,"col","Villavieja",-75.2,3.26,"Arctodictis Monkey Beds - Marshall",NA,"V4521",1,"Laventan","",13.8,11.8,8437,"gp_mid",-71.59,4.05,"201",12.8,"serravallian",34341,-73.0392,0.936,7
"133031",195259,"col","La Victoria",-75.1,3.24,"Duke locality 95",NA,"Los Hoyos area",1,"Laventan","",13.8,11.8,46945,"gp_mid",-71.5,4.02,"201",12.8,"serravallian",34995,-73.0392,0.936,7
"133312",195735,"col","La Victoria",-75.16,3.33,"V-4503",NA,"UCMP Locality V4503 just below the Tatacoa Sandstone Beds",1,"Laventan","",13.8,11.8,46924,"gp_mid",-71.56,4.11,"201",12.8,"serravallian",34161,-73.0392,0.936,7
"133970",196807,"col","Villavieja",-75.19,3.26,"Locality V-5044",NA,"",1,"Laventan","",13.8,11.8,46941,"gp_mid",-71.59,4.05,"201",12.8,"serravallian",25624,-73.0392,0.936,7
"133972",196810,"col","La Victoria",-75.15,3.39,"Duke locality 110",NA,"",1,"Laventan","",13.8,11.8,46941,"gp_mid",-71.54,4.18,"201",12.8,"serravallian",35187,-73.0392,0.936,7
"134049",196950,"col","",27.47,47.67,"Ciuciulea",NA,"",1,"Serravallian","",13.82,11.62,48154,"gp_mid",28.36,44.99,"302",12.72,"serravallian",35215,23.2373,46.9938,7
